FIPS Code,Geography,Year,Program Type,Population
36005,Bronx,2014,Postcensal Population Estimate,1431538
36047,Brooklyn,2014,Postcensal Population Estimate,2602680
36061,Manhattan,2014,Postcensal Population Estimate,1630946
36081,Queens,2014,Postcensal Population Estimate,2300148
36085,Staten Island,2014,Postcensal Population Estimate,472075
36005,Bronx,2013,Postcensal Population Estimate,1422340
36047,Brooklyn,2013,Postcensal Population Estimate,2588501
36061,Manhattan,2013,Postcensal Population Estimate,1627806
36081,Queens,2013,Postcensal Population Estimate,2288194
36085,Staten Island,2013,Postcensal Population Estimate,471898
36005,Bronx,2012,Postcensal Population Estimate,1411715
36047,Brooklyn,2012,Postcensal Population Estimate,2568876
36061,Manhattan,2012,Postcensal Population Estimate,1624039
36081,Queens,2012,Postcensal Population Estimate,2272745
36085,Staten Island,2012,Postcensal Population Estimate,470657
36005,Bronx,2011,Postcensal Population Estimate,1397366
36047,Brooklyn,2011,Postcensal Population Estimate,2540822
36061,Manhattan,2011,Postcensal Population Estimate,1608215
36081,Queens,2011,Postcensal Population Estimate,2255559
36085,Staten Island,2011,Postcensal Population Estimate,471001
36005,Bronx,2010,Postcensal Population Estimate,1387353
36005,Bronx,2010,Census Base Population,1384794
36047,Brooklyn,2010,Postcensal Population Estimate,2509877
36047,Brooklyn,2010,Census Base Population,2504706
36061,Manhattan,2010,Postcensal Population Estimate,1588759
36061,Manhattan,2010,Census Base Population,1586184
36081,Queens,2010,Census Base Population,2230545
36081,Queens,2010,Postcensal Population Estimate,2234745
36085,Staten Island,2010,Census Base Population,468730
36085,Staten Island,2010,Postcensal Population Estimate,469621
